name,muni,ward_id,normalized_name,warning,election_day_registered,ballots_cast,nov_1_registered
City of Milwaukee - Ward 303,53000,303,city of milwaukee ward 303,,1316,1173,1317
City of Milwaukee - Ward 304,53000,304,city of milwaukee ward 304,,1089,931,1097
City of Milwaukee - Ward 305,53000,305,city of milwaukee ward 305,,1101,936,1098
City of Milwaukee - Ward 306,53000,306,city of milwaukee ward 306,,891,703,887
City of Milwaukee - Ward 307,53000,307,city of milwaukee ward 307,,910,802,906
City of Milwaukee - Ward 308,53000,308,city of milwaukee ward 308,,942,753,954
City of Milwaukee - Ward 309,53000,309,city of milwaukee ward 309,,1298,1116,1297
City of Milwaukee - Ward 31,53000,31,city of milwaukee ward 31,,866,665,876
City of Milwaukee - Ward 310,53000,310,city of milwaukee ward 310,,448,358,457
City of Milwaukee - Ward 311,53000,311,city of milwaukee ward 311,,785,663,789
City of Milwaukee - Ward 312,53000,312,city of milwaukee ward 312,,1029,951,1029
City of Milwaukee - Ward 313,53000,313,city of milwaukee ward 313,,2034,1747,2033
City of Milwaukee - Ward 314,53000,314,city of milwaukee ward 314,,769,681,767
City of Milwaukee - Ward 315,53000,315,city of milwaukee ward 315,,1510,919,1515
City of Milwaukee - Ward 316,53000,316,city of milwaukee ward 316,,865,751,859
City of Milwaukee - Ward 317,53000,317,city of milwaukee ward 317,,1019,906,1023
City of Milwaukee - Ward 32,53000,32,city of milwaukee ward 32,,1857,1482,1889
City of Milwaukee - Ward 320,53000,320,city of milwaukee ward 320,,59,41,58
City of Milwaukee - Ward 321,53000,321,city of milwaukee ward 321,,296,206,299
City of Milwaukee - Ward 322,53000,322,city of milwaukee ward 322,,166,123,164
City of Milwaukee - Ward 323,53000,323,city of milwaukee ward 323,,363,262,366
City of Milwaukee - Ward 324,53000,324,city of milwaukee ward 324,,175,111,176
City of Milwaukee - Ward 325,53000,325,city of milwaukee ward 325,,477,381,480
City of Milwaukee - Ward 326,53000,326,city of milwaukee ward 326,,4,5,4
City of Milwaukee - Ward 33,53000,33,city of milwaukee ward 33,,2395,2043,2400
City of Milwaukee - Ward 34,53000,34,city of milwaukee ward 34,,1426,1145,1445
City of Milwaukee - Ward 35,53000,35,city of milwaukee ward 35,,1071,869,1082
City of Milwaukee - Ward 36,53000,36,city of milwaukee ward 36,,978,796,978
City of Milwaukee - Ward 37,53000,37,city of milwaukee ward 37,,965,657,967
City of Milwaukee - Ward 38,53000,38,city of milwaukee ward 38,,749,538,761
City of Milwaukee - Ward 39,53000,39,city of milwaukee ward 39,,885,682,888
City of Milwaukee - Ward 4,53000,4,city of milwaukee ward 4,,1907,1473,1924
City of Milwaukee - Ward 40,53000,40,city of milwaukee ward 40,,861,635,872
City of Milwaukee - Ward 41,53000,41,city of milwaukee ward 41,,860,627,861
City of Milwaukee - Ward 42,53000,42,city of milwaukee ward 42,,1145,890,1168
City of Milwaukee - Ward 43,53000,43,city of milwaukee ward 43,,446,254,448
City of Milwaukee - Ward 44,53000,44,city of milwaukee ward 44,,1152,902,1155
City of Milwaukee - Ward 45,53000,45,city of milwaukee ward 45,,1185,871,1188
City of Milwaukee - Ward 46,53000,46,city of milwaukee ward 46,,665,489,667
City of Milwaukee - Ward 47,53000,47,city of milwaukee ward 47,,1135,849,1146
City of Milwaukee - Ward 48,53000,48,city of milwaukee ward 48,,553,423,564
City of Milwaukee - Ward 49,53000,49,city of milwaukee ward 49,,776,568,789
City of Milwaukee - Ward 5,53000,5,city of milwaukee ward 5,,974,777,982
City of Milwaukee - Ward 50,53000,50,city of milwaukee ward 50,,719,526,737
City of Milwaukee - Ward 51,53000,51,city of milwaukee ward 51,,703,506,712
City of Milwaukee - Ward 52,53000,52,city of milwaukee ward 52,,1049,700,1067
City of Milwaukee - Ward 53,53000,53,city of milwaukee ward 53,,475,387,474
City of Milwaukee - Ward 54,53000,54,city of milwaukee ward 54,,608,432,615
City of Milwaukee - Ward 55,53000,55,city of milwaukee ward 55,,1312,1041,1318
City of Milwaukee - Ward 56,53000,56,city of milwaukee ward 56,,823,650,845
City of Milwaukee - Ward 57,53000,57,city of milwaukee ward 57,,1072,824,1090
City of Milwaukee - Ward 58,53000,58,city of milwaukee ward 58,,788,640,808
City of Milwaukee - Ward 59,53000,59,city of milwaukee ward 59,,1550,1172,1549
City of Milwaukee - Ward 6,53000,6,city of milwaukee ward 6,,2157,1777,2184
City of Milwaukee - Ward 60,53000,60,city of milwaukee ward 60,,1071,765,1089
City of Milwaukee - Ward 61,53000,61,city of milwaukee ward 61,,943,674,950
City of Milwaukee - Ward 62,53000,62,city of milwaukee ward 62,,782,544,791
City of Milwaukee - Ward 63,53000,63,city of milwaukee ward 63,,740,537,757
City of Milwaukee - Ward 64,53000,64,city of milwaukee ward 64,,1600,1203,1632
City of Milwaukee - Ward 65,53000,65,city of milwaukee ward 65,,1233,981,1242
City of Milwaukee - Ward 66,53000,66,city of milwaukee ward 66,,775,568,782
City of Milwaukee - Ward 67,53000,67,city of milwaukee ward 67,,707,525,720
City of Milwaukee - Ward 68,53000,68,city of milwaukee ward 68,,1299,978,1314
City of Milwaukee - Ward 69,53000,69,city of milwaukee ward 69,,1033,800,1047
City of Milwaukee - Ward 7,53000,7,city of milwaukee ward 7,,745,562,751
City of Milwaukee - Ward 70,53000,70,city of milwaukee ward 70,,1466,1147,1490
City of Milwaukee - Ward 71,53000,71,city of milwaukee ward 71,,838,671,849
City of Milwaukee - Ward 72,53000,72,city of milwaukee ward 72,,1125,923,1150
City of Milwaukee - Ward 73,53000,73,city of milwaukee ward 73,,1245,980,1256
City of Milwaukee - Ward 74,53000,74,city of milwaukee ward 74,,785,665,794
City of Milwaukee - Ward 75,53000,75,city of milwaukee ward 75,,855,688,865
City of Milwaukee - Ward 76,53000,76,city of milwaukee ward 76,,851,664,855
City of Milwaukee - Ward 77,53000,77,city of milwaukee ward 77,,761,621,781
City of Milwaukee - Ward 78,53000,78,city of milwaukee ward 78,,1321,1044,1334
City of Milwaukee - Ward 79,53000,79,city of milwaukee ward 79,,1350,1111,1359
City of Milwaukee - Ward 8,53000,8,city of milwaukee ward 8,,1765,1484,1767
City of Milwaukee - Ward 80,53000,80,city of milwaukee ward 80,,1790,1478,1806
City of Milwaukee - Ward 81,53000,81,city of milwaukee ward 81,,740,636,742
City of Milwaukee - Ward 82,53000,82,city of milwaukee ward 82,,945,845,943
City of Milwaukee - Ward 83,53000,83,city of milwaukee ward 83,,1157,1011,1159
City of Milwaukee - Ward 84,53000,84,city of milwaukee ward 84,,826,711,826
City of Milwaukee - Ward 85,53000,85,city of milwaukee ward 85,,1109,948,1105
City of Milwaukee - Ward 86,53000,86,city of milwaukee ward 86,,1065,927,1065
City of Milwaukee - Ward 87,53000,87,city of milwaukee ward 87,,689,594,692
City of Milwaukee - Ward 88,53000,88,city of milwaukee ward 88,,928,804,934
City of Milwaukee - Ward 89,53000,89,city of milwaukee ward 89,,1175,1012,1186
City of Milwaukee - Ward 9,53000,9,city of milwaukee ward 9,,876,752,884
City of Milwaukee - Ward 90,53000,90,city of milwaukee ward 90,,1135,966,1152
City of Milwaukee - Ward 91,53000,91,city of milwaukee ward 91,,1650,1289,1661
City of Milwaukee - Ward 92,53000,92,city of milwaukee ward 92,,1606,1346,1610
City of Milwaukee - Ward 93,53000,93,city of milwaukee ward 93,,765,678,768
City of Milwaukee - Ward 94,53000,94,city of milwaukee ward 94,,609,446,630
City of Milwaukee - Ward 95,53000,95,city of milwaukee ward 95,,664,543,676
City of Milwaukee - Ward 96,53000,96,city of milwaukee ward 96,,1201,977,1217
City of Milwaukee - Ward 97,53000,97,city of milwaukee ward 97,,1144,937,1166
City of Milwaukee - Ward 98,53000,98,city of milwaukee ward 98,,803,663,813
City of Milwaukee - Ward 99,53000,99,city of milwaukee ward 99,,1291,1042,1312
City of Oak Creek - Ward 1,58800,1,city of oak creek ward 1,"WARNING: Combined in results: City of Oak Creek Wards 1,2,3, combined results: 3533",1061,1000,1083
City of Oak Creek - Ward 10,58800,10,city of oak creek ward 10,"WARNING: Combined in results: City of Oak Creek Wards 10,11,12, combined results: 3770",1320,1230,1339
City of Oak Creek - Ward 11,58800,11,city of oak creek ward 11,"WARNING: Combined in results: City of Oak Creek Wards 10,11,12, combined results: 3770",1435,1338,1456
City of Oak Creek - Ward 12,58800,12,city of oak creek ward 12,"WARNING: Combined in results: City of Oak Creek Wards 10,11,12, combined results: 3770",1290,1202,1309
City of Oak Creek - Ward 13,58800,13,city of oak creek ward 13,"WARNING: Combined in results: City of Oak Creek Wards 13,14,15, combined results: 3670",1172,1109,1187
City of Oak Creek - Ward 14,58800,14,city of oak creek ward 14,"WARNING: Combined in results: City of Oak Creek Wards 13,14,15, combined results: 3670",1424,1348,1443
City of Oak Creek - Ward 15,58800,15,city of oak creek ward 15,"WARNING: Combined in results: City of Oak Creek Wards 13,14,15, combined results: 3670",1282,1213,1299
City of Oak Creek - Ward 16,58800,16,city of oak creek ward 16,"WARNING: Combined in results: City of Oak Creek Wards 16,17,18,19, combined results: 2934",903,812,917
City of Oak Creek - Ward 17,58800,17,city of oak creek ward 17,"WARNING: Combined in results: City of Oak Creek Wards 16,17,18,19, combined results: 2934",618,556,628
City of Oak Creek - Ward 18,58800,18,city of oak creek ward 18,"WARNING: Combined in results: City of Oak Creek Wards 16,17,18,19, combined results: 2934",512,460,520
City Of Oak Creek - Ward 19,58800,19,city of oak creek ward 19,"WARNING: Combined in results: City of Oak Creek Wards 16,17,18,19, combined results: 2934",1229,1106,1249
City of Oak Creek - Ward 2,58800,2,city of oak creek ward 2,"WARNING: Combined in results: City of Oak Creek Wards 1,2,3, combined results: 3533",1356,1278,1384
City of Oak Creek - Ward 3,58800,3,city of oak creek ward 3,"WARNING: Combined in results: City of Oak Creek Wards 1,2,3, combined results: 3533",1331,1255,1359
City of Oak Creek - Ward 4,58800,4,city of oak creek ward 4,"WARNING: Combined in results: City of Oak Creek Wards 4,5,6, combined results: 3463",1474,1374,1519
City of Oak Creek - Ward 5,58800,5,city of oak creek ward 5,"WARNING: Combined in results: City of Oak Creek Wards 4,5,6, combined results: 3463",1012,944,1043
City of Oak Creek - Ward 6,58800,6,city of oak creek ward 6,"WARNING: Combined in results: City of Oak Creek Wards 4,5,6, combined results: 3463",1228,1145,1266
City of Oak Creek - Ward 7,58800,7,city of oak creek ward 7,"WARNING: Combined in results: City of Oak Creek Wards 7,8,9, combined results: 3470",1037,970,1055
City of Oak Creek - Ward 8,58800,8,city of oak creek ward 8,"WARNING: Combined in results: City of Oak Creek Wards 7,8,9, combined results: 3470",1282,1200,1305
City of Oak Creek - Ward 9,58800,9,city of oak creek ward 9,"WARNING: Combined in results: City of Oak Creek Wards 7,8,9, combined results: 3470",1389,1300,1414
City of St. Francis - Ward 1,70650,1,city of st francis ward 1,"WARNING: Combined in results: City of St. Francis Wards 9,10,11,1, combined results: 2209",494,459,494
City of St. Francis - Ward 10,70650,10,city of st francis ward 10,"WARNING: Combined in results: City of St. Francis Wards 9,10,11,1, combined results: 2209",692,642,691
City of St. Francis - Ward 11,70650,11,city of st francis ward 11,"WARNING: Combined in results: City of St. Francis Wards 9,10,11,1, combined results: 2209",559,519,559
City of St. Francis - Ward 12,70650,12,city of st francis ward 12,Not reported in results,,,546
City of St. Francis - Ward 2,70650,2,city of st francis ward 2,"WARNING: Combined in results: City of St. Francis Wards 1,2,3,4, combined results: 1693",474,420,481
City of St. Francis - Ward 3,70650,3,city of st francis ward 3,"WARNING: Combined in results: City of St. Francis Wards 1,2,3,4, combined results: 1693",449,398,456
City of St. Francis - Ward 4,70650,4,city of st francis ward 4,"WARNING: Combined in results: City of St. Francis Wards 1,2,3,4, combined results: 1693",502,444,509
City of St. Francis - Ward 5,70650,5,city of st francis ward 5,"WARNING: Combined in results: City of St. Francis Wards 5,6,7,8, combined results: 1823",571,521,576
City of St. Francis - Ward 6,70650,6,city of st francis ward 6,"WARNING: Combined in results: City of St. Francis Wards 5,6,7,8, combined results: 1823",405,369,408
City of St. Francis - Ward 7,70650,7,city of st francis ward 7,"WARNING: Combined in results: City of St. Francis Wards 5,6,7,8, combined results: 1823",443,404,447
City of St. Francis - Ward 8,70650,8,city of st francis ward 8,"WARNING: Combined in results: City of St. Francis Wards 5,6,7,8, combined results: 1823",580,529,585
City of St. Francis - Ward 9,70650,9,city of st francis ward 9,"WARNING: Combined in results: City of St. Francis Wards 9,10,11,1, combined results: 2209",636,590,635
City of South Milwaukee - Ward 1,75125,1,city of south milwaukee ward 1,"WARNING: Combined in results: City of South Milwaukee Wards 1,2,3,4, combined results: 2830",898,825,913
City of South Milwaukee - Ward 10,75125,10,city of south milwaukee ward 10,"WARNING: Combined in results: City of South Milwaukee Wards 9,10,11,12, combined results: 3159",802,742,815
City of South Milwaukee - Ward 11,75125,11,city of south milwaukee ward 11,"WARNING: Combined in results: City of South Milwaukee Wards 9,10,11,12, combined results: 3159",1005,929,1021
City of South Milwaukee - Ward 12,75125,12,city of south milwaukee ward 12,"WARNING: Combined in results: City of South Milwaukee Wards 9,10,11,12, combined results: 3159",824,762,837
City of South Milwaukee - Ward 13,75125,13,city of south milwaukee ward 13,"WARNING: Combined in results: City of South Milwaukee Wards 13,14,15,16, combined results: 2766",643,579,655
City of South Milwaukee - Ward 14,75125,14,city of south milwaukee ward 14,"WARNING: Combined in results: City of South Milwaukee Wards 13,14,15,16, combined results: 2766",717,646,730
City of South Milwaukee - Ward 15,75125,15,city of south milwaukee ward 15,"WARNING: Combined in results: City of South Milwaukee Wards 13,14,15,16, combined results: 2766",894,805,910
City of South Milwaukee - Ward 16,75125,16,city of south milwaukee ward 16,"WARNING: Combined in results: City of South Milwaukee Wards 13,14,15,16, combined results: 2766",818,737,833
City of South Milwaukee - Ward 2,75125,2,city of south milwaukee ward 2,"WARNING: Combined in results: City of South Milwaukee Wards 1,2,3,4, combined results: 2830",759,697,771
City of South Milwaukee - Ward 3,75125,3,city of south milwaukee ward 3,"WARNING: Combined in results: City of South Milwaukee Wards 1,2,3,4, combined results: 2830",733,674,745
City of South Milwaukee - Ward 4,75125,4,city of south milwaukee ward 4,"WARNING: Combined in results: City of South Milwaukee Wards 1,2,3,4, combined results: 2830",690,634,701
City of South Milwaukee - Ward 5,75125,5,city of south milwaukee ward 5,"WARNING: Combined in results: City of South Milwaukee Wards 5,6,7,8, combined results: 2471",653,583,665
City of South Milwaukee - Ward 6,75125,6,city of south milwaukee ward 6,"WARNING: Combined in results: City of South Milwaukee Wards 5,6,7,8, combined results: 2471",815,728,831
City of South Milwaukee - Ward 7,75125,7,city of south milwaukee ward 7,"WARNING: Combined in results: City of South Milwaukee Wards 5,6,7,8, combined results: 2471",563,503,574
City of South Milwaukee - Ward 8,75125,8,city of south milwaukee ward 8,"WARNING: Combined in results: City of South Milwaukee Wards 5,6,7,8, combined results: 2471",736,657,750
City of South Milwaukee - Ward 9,75125,9,city of south milwaukee ward 9,"WARNING: Combined in results: City of South Milwaukee Wards 9,10,11,12, combined results: 3159",787,727,799
City of Wauwatosa - Ward 1,84675,1,city of wauwatosa ward 1,,1418,1314,1433
City of Wauwatosa - Ward 10,84675,10,city of wauwatosa ward 10,,1555,1427,1597
City of Wauwatosa - Ward 11,84675,11,city of wauwatosa ward 11,,1485,1339,1496
City of Wauwatosa - Ward 12,84675,12,city of wauwatosa ward 12,,1710,1586,1713
City of Wauwatosa - Ward 13,84675,13,city of wauwatosa ward 13,,821,738,825
City of Wauwatosa - Ward 14,84675,14,city of wauwatosa ward 14,,1540,1388,1550
City of Wauwatosa - Ward 15,84675,15,city of wauwatosa ward 15,,1631,1490,1645
City of Wauwatosa - Ward 16,84675,16,city of wauwatosa ward 16,,1714,1595,1729
City of Wauwatosa - Ward 17,84675,17,city of wauwatosa ward 17,,1454,1357,1466
City of Wauwatosa - Ward 18,84675,18,city of wauwatosa ward 18,,1283,1138,1306
City of Wauwatosa - Ward 19,84675,19,city of wauwatosa ward 19,,1435,1317,1450
City of Wauwatosa - Ward 2,84675,2,city of wauwatosa ward 2,,1451,1328,1466
City of Wauwatosa - Ward 20,84675,20,city of wauwatosa ward 20,,1886,1721,1913
City of Wauwatosa - Ward 21,84675,21,city of wauwatosa ward 21,,1295,1170,1307
City of Wauwatosa - Ward 22,84675,22,city of wauwatosa ward 22,,1457,1382,1486
City of Wauwatosa - Ward 23,84675,23,city of wauwatosa ward 23,,1333,1219,1338
City of Wauwatosa - Ward 24,84675,24,city of wauwatosa ward 24,,1213,1063,1220
City of Wauwatosa - Ward 3,84675,3,city of wauwatosa ward 3,,1572,1407,1579
City of Wauwatosa - Ward 4,84675,4,city of wauwatosa ward 4,,2060,1900,2084
City of Wauwatosa - Ward 5,84675,5,city of wauwatosa ward 5,,1260,1101,1289
City of Wauwatosa - Ward 6,84675,6,city of wauwatosa ward 6,,1158,1027,1173
City of Wauwatosa - Ward 7,84675,7,city of wauwatosa ward 7,,1716,1566,1724
City of Wauwatosa - Ward 8,84675,8,city of wauwatosa ward 8,,824,699,837
City of Wauwatosa - Ward 9,84675,9,city of wauwatosa ward 9,,1624,1448,1638
City of West Allis - Ward 1,85300,1,city of west allis ward 1,,1097,878,1118
City of West Allis - Ward 10,85300,10,city of west allis ward 10,,1365,1109,1386
City of West Allis - Ward 11,85300,11,city of west allis ward 11,,1622,1406,1644
City of West Allis - Ward 12,85300,12,city of west allis ward 12,,1456,1267,1464
City of West Allis - Ward 13,85300,13,city of west allis ward 13,,1904,1719,1915
City of West Allis - Ward 14,85300,14,city of west allis ward 14,,1140,910,1153
City of West Allis - Ward 15,85300,15,city of west allis ward 15,,1195,988,1212
City of West Allis - Ward 16,85300,16,city of west allis ward 16,,1167,1000,1187
City of West Allis - Ward 17,85300,17,city of west allis ward 17,,1574,1350,1592
City of West Allis - Ward 18,85300,18,city of west allis ward 18,,1811,1556,1827
City of West Allis - Ward 19,85300,19,city of west allis ward 19,,1646,1418,1671
City of West Allis - Ward 2,85300,2,city of west allis ward 2,,1475,1223,1521
City of West Allis - Ward 20,85300,20,city of west allis ward 20,,1172,1028,1196
City of West Allis - Ward 21,85300,21,city of west allis ward 21,,1504,1279,1525
City of West Allis - Ward 22,85300,22,city of west allis ward 22,,1231,992,1233
City of West Allis - Ward 23,85300,23,city of west allis ward 23,,1648,1441,1667
City of West Allis - Ward 24,85300,24,city of west allis ward 24,,1096,924,1109
City of West Allis - Ward 25,85300,25,city of west allis ward 25,,1517,1372,1534
City of West Allis - Ward 3,85300,3,city of west allis ward 3,,1039,829,1051
City of West Allis - Ward 4,85300,4,city of west allis ward 4,,1476,1226,1490
City of West Allis - Ward 5,85300,5,city of west allis ward 5,,1209,1001,1221
City of West Allis - Ward 6,85300,6,city of west allis ward 6,,1173,922,1183
City of West Allis - Ward 7,85300,7,city of west allis ward 7,,1414,1180,1464
City of West Allis - Ward 8,85300,8,city of west allis ward 8,,1183,932,1183
City of West Allis - Ward 9,85300,9,city of west allis ward 9,,1541,1285,1571
